Vital House Number,Vital Street Name,Block,Lot,Condemnation Legislation,Most Recent Inspection,Latitude,Longitude
58, CRAWFORD ST.,114,97,no,07-16-2013,40.72882859,-74.18102402
84, WEST KINNEY STREET,114.01,47,yes,09-24-2013,40.72980152,-74.18029099
451, WASHINGTON ST.,115,17,yes,09-24-2013,40.72941152,-74.17946286
11, GOBLE ST.,1164,4,no,09-20-2013,40.72131876,-74.17310659
35, GOBLE ST.,1166,8,yes,09-20-2013,40.7202512,-74.17360533
493, WASHINGTON ST.,121,41,yes,09-24-2013,40.72805862,-74.18013483
499, WASHINGTON ST.,121,46,no,09-24-2013,40.72786518,-74.1802143
517, WASHINGTON ST.,122,41,no,03-24-2014,40.72720747,-74.18046296
519, WASHINGTON ST.,122,42,no,09-24-2013,40.72713903,-74.1804872
191-193, LITTLETON AVE.,1778,11,no,03-17-2014,40.7407017,-74.1958209
201, LITTLETON AVE.,1778,16,no,12-11-2013,40.74041101,-74.19594818
187-189, LITTLETON AVE.,1778,9,no,03-10-2014,40.74083296,-74.19575639
224-226, SOUTH SEVENTH ST.,1779,63,no,09-20-2013,40.74114852,-74.1969819
309, SOUTH ORANGE AVE.,1779,39,no,10-01-2013,40.73967451,-74.19757634
228, SOUTH SEVENTH ST.,1779,61,no,03-26-2014,40.74105607,-74.19704134
332-334, THIRTEENTH AVE,1779,5,no,08-30-2013,40.7415541,-74.19649877
284-286, SOUTH EIGHTH ST.,1780,46,yes,03-24-2014,40.74037447,-74.19837209
231, SOUTH SEVENTH ST.,1780,18,no,03-26-2014,40.74110129,-74.19762644
255, SOUTH SEVENTH ST.,1780,30,no,09-13-2013,40.74033013,-74.198008
350, THIRTEENTH AVE.,1780,5,no,08-30-2013,40.74181262,-74.19742072
319, SOUTH ORANGE AVE.,1780,36,no,10-01-2013,40.73983851,-74.19821693
329, SOUTH ORANGE AVE.,1780,41,no,10-01-2013,40.7399231,-74.19865006
348, THIRTEENTH AVE.,1780,6,no,03-04-2014,40.74178894,-74.19733632
280, SOUTH NINTH ST.,1781,66,yes,03-14-2014,40.74183069,-74.19865552
253, SOUTH EIGHTH STREET,1781,14,yes,03-14-2014,40.74154119,-74.19841311
370-374, THIRTEENTH AVE.,1781,4,no,,40.74222074,-74.19849236
270, SOUTH NINTH ST.,1781,3,no,09-30-2013,40.74215455,-74.19852832
265-267, SOUTH EIGHTH ST,1781,21,no,09-23-2013,40.74110666,-74.1986278
269, SOUTH EIGHTH ST,1781,22,no,09-23-2013,40.7410109,-74.19867503
340-342, SOUTH TENTH ST.,1782,50,yes,09-16-2013,40.7410748,-74.20003428
348-350, SOUTH TENTH ST.,1782,46,yes,09-06-2013,40.74082435,-74.20015812
283, SOUTH NINTH ST.,1782,13,yes,11-06-2013,40.74186011,-74.19925913
356, SOUTH ELEVENTH ST,1783,61,yes,09-17-2013,40.74189534,-74.20063185
360-364, SOUTH ELEVENTH ST,1783,57,no,09-17-2013,40.74170018,-74.20072027
406, THIRTEENTH AVE,1783,1,no,03-17-2014,40.74266679,-74.20039585
378-380, SOUTH ELEVENTH ST,1783,49,no,09-17-2013,40.74115206,-74.20099878
369, SOUTH ELEVENTH ST,1784,24,yes,09-17-2013,40.74165366,-74.20136776
345, SOUTH ELEVENTH ST.,1784,13,yes,09-18-2013,40.74238671,-74.20100669
361, SOUTH ELEVENTH ST,1784,20,yes,09-18-2013,40.74188516,-74.20125375
373, SOUTH ELEVENTH ST.,1784,26,yes,09-11-2013,40.74149935,-74.20144377
375, SOUTH ELEVENTH ST,1784,28,yes,09-11-2013,40.7414222,-74.20148178
339-341, SOUTH ELEVENTH ST,1784,10,yes,09-11-2013,40.74254101,-74.20093065
338, SOUTH TWELFTH ST,1784,63,yes,03-12-2014,40.7424678,-74.20135205
348, SOUTH TWELFTH ST,1784,58,yes,03-12-2014,40.74214229,-74.20151239
350-352, SOUTH TWELFTH ST,1784,57,yes,03-12-2014,40.74205428,-74.20155574
354, SOUTH TWELFTH ST,1784,55,yes,09-12-2013,40.74194262,-74.20161073
376, SOUTH TWELFTH ST,1784,44,yes,03-12-2014,40.74124691,-74.20199863
371, SOUTH ELEVENTH ST,1784,25,no,09-11-2013,40.7415765,-74.20140577
379-381, SOUTH ELEVENTH ST,1784,30,no,09-17-2013,40.74124228,-74.20157036
383-387, SOUTH ELEVENTH ST,1784,32,no,09-17-2013,40.7410965,-74.20167536
355, SOUTH ELEVENTH ST,1784,18,no,11-01-2013,40.74203949,-74.20117774
356, SOUTH TWELFTH ST,1784,69,no,01-27-2014,40.74185462,-74.20165407
19, FERDINAND ST,1789.01,15,no,05-01-2014,40.74501589,-74.20946879
367-369, SOUTH TWENTIETH,1789.01,8,no,09-19-2013,40.74468934,-74.20877865
312, GROVE ST,1790,29,no,09-04-2013,40.74629801,-74.20896914
569-571, THIRTEENTH AVE.,1790.01,1,no,08-30-2013,40.74554171,-74.20870687
322-324, GROVE ST,1790.01,11,no,03-06-2014,40.74596056,-74.20919409
503, SOUTH ORANGE AVENUE,1791,24,no,10-01-2013,40.74326432,-74.20744938
375-377, SOUTH NINETEENTH,1792,11,no,,40.74421023,-74.20812511
363, SOUTH NINETEENTH ST,1792,5,no,,40.74463046,-74.20791757
355-357, SOUTH NINETEENTH,1792,1,no,,40.74485807,-74.20780488
363, SOUTH NINETEENTH ST,1792,5,no,02-07-2014,40.74463046,-74.20791757
355-357, SOUTH NINETEENTH,1792,1,no,02-07-2014,40.74485807,-74.20780488
295, SOUTH EIGHTEENTH ST,1793,3,yes,05-13-2014,40.74658907,-74.20594897
297-299, SOUTH EIGHTEENTH,1793,5,yes,05-13-2014,40.746512,-74.20598711
301, SOUTH EIGHTEENTH ST,1793,6,yes,05-13-2014,40.74643493,-74.20602526
527, THIRTEENTH AVE,1793,27,yes,08-30-2013,40.74489215,-74.2066447
293, SOUTH EIGHTEENTH ST,1793,2,no,10-01-2013,40.74666616,-74.20591084
324, SOUTH NINETEENTH ST,1793,43,no,,40.74574129,-74.20675306
318, SOUTH NINETEENTH ST,1793,46,no,,40.745934,-74.20665777
327, SOUTH NINETEENTH ST,1794,20,no,09-19-2013,40.74579692,-74.20734197
340, SOUTH TWENTIETH ST,1794,35,no,09-19-2013,40.74547866,-74.20788491
547, THIRTEENTH AVE,1794,29,no,10-21-2013,40.74523344,-74.20766864
549-551, THIRTEENTH AVE,1794,30,no,10-21-2013,40.74526817,-74.2077899
327, SOUTH NINETEENTH ST,1794,20,no,,40.74579692,-74.20734197
291-293, SOUTH NINETEENTH,1794,2,no,,40.74689152,-74.20680101
327, SOUTH NINETEENTH ST,1794,20,no,02-07-2014,40.74579692,-74.20734197
323, SOUTH NINETEENTH ST,1794,17,no,02-07-2014,40.74594081,-74.20727086
346, SOUTH TWENTIETH ST,1794,34,no,02-10-2014,40.74529086,-74.20807409
285, SOUTH ELEVENTH ST,1795,13,yes,09-17-2013,40.74446374,-74.19997993
275, SOUTH ELEVENTH ST,1795,8,no,09-11-2013,40.74480796,-74.19980972
271-273, SOUTH ELEVENTH ST,1795,7,no,09-17-2013,40.74487701,-74.19976209
415, THIRTEENTH AVE,1795,35,no,08-30-2013,40.74324756,-74.20082838
283, SOUTH ELEVENTH ST,1795,12,no,09-17-2013,40.74452796,-74.19994818
308-320, SOUTH ELEVENTH ST,1796,48,yes,03-10-2014,40.74340996,-74.19988314
253, SOUTH TENTH STREET,1796,13,no,09-16-2013,40.74422357,-74.19909424
275, SOUTH TENTH STREET,1796,24,no,09-16-2013,40.74349232,-74.19945612
287, SOUTH TENTH STREET,1796,30,no,09-16-2013,40.74313301,-74.19963384
255, SOUTH TENTH STREET,1796,75,no,09-16-2013,40.74418299,-74.19911432
326, SOUTH ELEVENTH ST.,1796,39,no,09-17-2013,40.74308105,-74.20014269
257-, SOUTH TENTH ST.,1796,74,no,09-06-2013,40.744064,-74.19917322
223, SOUTH NINTH ST.,1797,13,no,09-30-2013,40.74395655,-74.19822315
202, TWELFTH AVENUE,1798,5,yes,08-30-2013,40.74415561,-74.19726636
208-210, SOUTH EIGHTH ST,1799,47,yes,03-24-2014,40.7429895,-74.19708097
220-222, SOUTH EIGHTH ST,1799,41,yes,03-24-2014,40.74258749,-74.19727958
161, SOUTH SIXTH STREET,1800,27,no,03-18-2014,40.74244494,-74.19593045
163, SOUTH SIXTH STREET,1800,28,no,03-24-2014,40.7423572,-74.19598274
121, LITTLETON AVE,1801,11,no,03-10-2014,40.74299759,-74.19460473
82-84, SOUTH SIXTH ST.,1809,13.01,no,11-15-2013,40.74493654,-74.19397187
108, SOUTH SEVENTH STREET,1810,53,no,03-26-2014,40.74526177,-74.1949317
75, SOUTH SIXTH ST.,1810,8,no,02-10-2014,40.74534902,-74.19445535
110-112, SOUTH SEVENTH ST.,1810,52,no,09-13-2013,40.74518409,-74.19496758
114, SOUTH SEVENTH STREET,1810,51,no,03-25-2014,40.74510831,-74.19500414
103, SOUTH SIXTH ST,1810,22,no,12-19-2013,40.74444097,-74.19487357
116, SOUTH SEVENTH STREET,1810,49,no,03-25-2014,40.74503308,-74.19504046
83-85, SOUTH SIXTH ST.,1810,10.02,no,11-15-2013,40.74505811,-74.19459281
117, SOUTH SEVENTH STREET,1811,20,no,03-26-2014,40.74510059,-74.19565171
113, SOUTH SEVENTH STREET,1811,17,no,03-24-2014,40.7452496,-74.19557806
185-187, TWELFTH AVE.,1811,27.06,no,08-30-2013,40.74434905,-74.19622492
170, SOUTH NINTH ST.,1812,53,no,09-13-2013,40.74569071,-74.19674874
80, ELEVENTH AVE.,1812,4,no,08-30-2013,40.74627611,-74.19631498
164, SOUTH NINTH ST.,1812,56,no,09-30-2013,40.74589494,-74.19664784
162, SOUTH NINTH ST.,1812,57,no,09-30-2013,40.74595917,-74.19661611
184, SOUTH NINTH ST.,1812,46,no,09-30-2013,40.74525907,-74.19696192
188, SOUTH NINTH ST.,1812,44,no,09-30-2013,40.7451152,-74.19703299
205, TWELFTH AVENUE,1812,36,no,08-30-2013,40.74463024,-74.1972243
188, SOUTH TENTH STREET,1813,59,yes,09-06-2013,40.7463435,-74.1974291
192, SOUTH TENTH STREET,1813,57,yes,09-16-2013,40.74621491,-74.19749269
204, SOUTH TENTH STREET,1813,51,yes,09-06-2013,40.74582949,-74.19768329
226, SOUTH TENTH STREET,1813,40,yes,09-16-2013,40.74511394,-74.19804327
102, ELEVENTH AVE.,1813,1,no,08-30-2013,40.74660618,-74.19744543
177, SOUTH NINTH ST.,1813,20,no,09-30-2013,40.74560373,-74.19740829
181, SOUTH NINTH ST.,1813,22,no,09-30-2013,40.74547529,-74.1974718
211-215, TWELFTH AVENUE,1813,31,no,08-30-2013,40.74478652,-74.19776348
167, SOUTH NINTH ST.,1813,15,no,09-30-2013,40.74592468,-74.19724957
169, SOUTH NINTH ST.,1813,16,no,09-30-2013,40.74586051,-74.19728131
194, SOUTH TENTH STREET,1813,56,no,09-06-2013,40.74615064,-74.19752447
185, SOUTH NINTH ST.,1813,24,no,09-13-2013,40.74534681,-74.19753534
224, SOUTH TENTH STREET,1813,41,no,01-16-2014,40.74518028,-74.19800435
216, SOUTH TENTH STREET,1813,45,no,01-16-2014,40.74544441,-74.19787373
196, SOUTH TENTH STREET,1813,55,no,01-16-2014,40.74608639,-74.19755624
205, SOUTH TENTH STREET,1814,15,yes,09-06-2013,40.74592342,-74.19825543
207, SOUTH TENTH STREET,1814,16,yes,05-27-2014,40.74588701,-74.19838358
221, SOUTH TENTH STREET,1814,23,yes,09-06-2013,40.74540965,-74.19850942
223, SOUTH TENTH ST,1814,24,yes,09-06-2013,40.74534506,-74.19854038
225, SOUTH TENTH ST,1814,25,yes,09-06-2013,40.74528109,-74.19857125
242, SOUTH ELEVENTH ST,1814,44,yes,09-11-2013,40.74589253,-74.19876069
254, SOUTH ELEVENTH ST,1814,38,no,09-17-2013,40.74549879,-74.19892208
214, SOUTH ELEVENTH ST,1814,58,no,09-16-2013,40.74662639,-74.19829411
212, SOUTH ELEVENTH ST,1814,59,no,09-16-2013,40.7466737,-74.19827066
187, SOUTH TENTH STREET,1814,6,no,09-16-2013,40.74648554,-74.1979775
210, SOUTH ELEVENTH ST,1814,60,no,09-16-2013,40.74672764,-74.1982597
183, SOUTH TENTH STREET,1814,66,no,09-16-2013,40.74657973,-74.19789208
185, SOUTH TENTH STREET,1814,67,no,09-16-2013,40.74654012,-74.19795044
250, SOUTH ELEVENTH ST,1814,40,no,09-11-2013,40.74563054,-74.19886789
220, SOUTH ELEVENTH ST,1814,55,no,10-01-2013,40.74647084,-74.19837118
229, SOUTH ELEVENTH ST,1815,11,yes,09-09-2013,40.74643409,-74.19900695
231, SOUTH ELEVENTH ST,1815,12,yes,05-28-2014,40.74636924,-74.19903867
235, SOUTH ELEVENTH ST.,1815,14,no,09-17-2013,40.74624018,-74.19910232
220, SOUTH TWELFTH ST,1815,56,no,09-17-2013,40.74663032,-74.19929567
219, SOUTH ELEVENTH ST,1815,6,no,09-16-2013,40.74675722,-74.19884754
237, SOUTH ELEVENTH ST,1815,15,no,09-09-2013,40.74617519,-74.19913401
214, SOUTH TWELFTH ST,1815,49,no,01-27-2014,40.74682424,-74.19919998
285-287, SOUTH NINETEENTH,1817,30.03,no,,40.74724303,-74.20662712
275, SOUTH NINETEENTH ST,1817,28,no,,40.74760684,-74.20644687
261, SOUTH NINETEENTH ST,1817,21,no,,40.74805612,-74.2062242
255, SOUTH NINETEENTH ST,1817,18,no,,40.74824869,-74.20612877
285-287, SOUTH NINETEENTH,1817,30.03,no,02-07-2014,40.74724303,-74.20662712
247, SOUTH EIGHTEENTH ST,1818,13,yes,09-12-2013,40.74830679,-74.20509555
245, SOUTH EIGHTEENTH ST,1818,12,no,05-13-2014,40.74839312,-74.20505408
275-277, SOUTH EIGHTEENTH,1818,27,no,05-13-2014,40.74737689,-74.2055577
245-, SOUTH EIGHTEENTH ST,1818,72,no,05-13-2014,40.74835021,-74.20507659
253, SOUTH EIGHTEENTH ST,1818,16,no,05-13-2014,40.74813639,-74.20518131
259, SOUTH EIGHTEENTH ST,1818,19,no,05-13-2014,40.74792244,-74.20528733
275-277, SOUTH EIGHTEENTH,1818,27,no,,40.74737689,-74.2055577
159, SOUTH ELEVENTH STREET,1825,11,yes,03-14-2014,40.74884406,-74.19781218
203, SOUTH ELEVENTH ST,1825,34,yes,05-28-2014,40.7474364,-74.19851124
174, SOUTH TWELFTH ST,1825,50,yes,03-12-2014,40.74823751,-74.19850063
186-188, SOUTH TWELFTH ST,1825,43,yes,03-12-2014,40.74782147,-74.19870657
179, SOUTH ELEVENTH ST,1825,21,no,09-09-2013,40.74822354,-74.19812036
199, SOUTH ELEVENTH ST,1825,32,no,09-09-2013,40.74756454,-74.19844765
175, SOUTH ELEVENTH ST,1825,18,no,09-16-2013,40.74837698,-74.19804414
201, SOUTH ELEVENTH ST,1825,33,no,03-17-2014,40.74750047,-74.19847944
131, ELEVENTH AVE.,1825,39,no,08-30-2013,40.74748083,-74.19892317
169, SOUTH TENTH STREET,1826,31,yes,09-06-2013,40.74724898,-74.19760043
175, SOUTH TENTH STREET,1826,34,yes,09-06-2013,40.747037,-74.19762763
158, SOUTH ELEVENTH STREET,1826,60,yes,05-28-2014,40.74875356,-74.19723952
160, SOUTH ELEVENTH STREET,1826,59,yes,03-18-2014,40.74868952,-74.1972712
129, SOUTH TENTH STREET,1826,11,yes,08-06-2013,40.74853729,-74.19696267
161, SOUTH TENTH STREET,1826,27,yes,09-16-2013,40.74748929,-74.19748154
171, SOUTH TENTH STREET,1826,32,no,09-16-2013,40.74718485,-74.19763215
188, SOUTH ELEVENTH ST,1826,45,no,09-16-2013,40.74779388,-74.19771609
550-552, CENTRAL AVE.,1826,3,no,03-17-2014,40.74888955,-74.19707594
192-194, SOUTH ELEVENTH ST,1826,42,no,09-17-2013,40.7476339,-74.19779554
152, SOUTH TENTH STREET,1827,47,no,09-06-2013,40.74766793,-74.19677543
109, SOUTH NINTH ST.,1827,16,no,03-24-2014,40.74795626,-74.1962455
139, SOUTH NINTH ST.,1827,31,no,09-13-2013,40.74694723,-74.196745
150, SOUTH TENTH ST,1827,48,no,09-06-2013,40.74773209,-74.19674372
117, SOUTH NINTH ST.,1827,20,no,09-30-2013,40.74769985,-74.19637244
91, ELEVENTH AVE.,1827,33,no,08-30-2013,40.74685776,-74.19686698
530-532, CENTRAL AVE.,1827,5,no,09-03-2013,40.74859042,-74.1960294
526-528, CENTRAL AVE.,1827,7,no,09-03-2013,40.74854183,-74.19585954
,,1827,70,no,09-16-2013,,
109, SOUTH EIGHTH STREET,1828,31,no,09-13-2013,40.74673894,-74.19584541
524, CENTRAL AVE.,1828,1,no,09-03-2013,40.7484481,-74.19552987
53, SOUTH SEVENTH ST,1829,18,no,03-26-2014,40.74732647,-74.19455211
102, SOUTH EIGHTH STREET,1829,42,no,03-24-2014,40.74684471,-74.19517643
98, SOUTH EIGHTH ST,1829,44,no,09-25-2013,40.74697333,-74.19511293
86, SOUTH EIGHTH STREET,1829,50,no,09-25-2013,40.74735894,-74.19492271
84, SOUTH EIGHTH STREET,1829,51,no,09-25-2013,40.74742319,-74.19489102
408-410, NEW ST,1838,21,no,10-25-2013,40.74602189,-74.18931365
17, FAIRMOUNT AVE.,1843,12,no,,40.74697278,-74.1913363
33, FIFTH ST.,1849,40,no,,40.74888455,-74.19138195
15, NORTH SIXTH ST,1850,38,no,03-21-2014,40.7488904,-74.19237162
26-28, FIFTH ST.,1850,8.03,no,,40.74886355,-74.19198595
11, NORTH SEVENTH ST.,1852,4,no,,40.74969412,-74.1928453
470-472, WEST MARKET ST.,1854,48,no,10-28-2013,40.74973863,-74.19363906
505, CENTRAL AVE,1854,26,no,09-03-2013,40.74892447,-74.19416284
67, SOUTH NINTH ST.,1856,23,no,09-30-2013,40.74960313,-74.19543553
18, NINTH AVE.,1856,8,no,09-03-2013,40.75063615,-74.19477204
20, NINTH AVE.,1856,7,no,09-03-2013,40.7506664,-74.1948482
110, SOUTH ELEVENTH STREET,1857,53,no,09-16-2013,40.75052902,-74.19636477
64, NINTH AVE,1858,1,yes,09-03-2013,40.75129943,-74.19713301
94, SOUTH TWELFTH ST,1858,58,yes,03-12-2014,40.75110244,-74.19708586
104, SOUTH TWELFTH ST,1858,53,yes,03-12-2014,40.7507811,-74.19724418
60, NINTH AVE.,1858,3,no,09-03-2013,40.75125094,-74.19696428
54, NINTH AVE.,1858,6,no,09-03-2013,40.75117819,-74.19671091
58, NINTH AVE.,1858,4,no,09-03-2013,40.75122657,-74.19687976
107, SOUTH ELEVENTH STREET,1858,13,no,09-17-2013,40.75074825,-74.19687397
99, SOUTH ELEVENTH STREET,1858,9,no,,40.75100527,-74.19674744
585-587, CENTRAL AVE.,1859,37,no,03-17-2014,40.74995525,-74.19875124
140, SOUTH THIRTEENTH ST,1859,42,no,09-18-2013,40.75025758,-74.19850464
124, SOUTH THIRTEENTH ST,1859,50,no,03-24-2014,40.75079186,-74.19824114
114, SOUTH THIRTEENTH ST,1859,56,no,09-18-2013,40.75111336,-74.19808259
70, NINTH AVE.,1859,6,no,09-03-2013,40.75146535,-74.19758398
128, SOUTH THIRTEENTH ST,1859,48,no,02-07-2014,40.7506472,-74.19831248
123, SOUTH THIRTEENTH ST,1860,18,no,03-24-2014,40.75091713,-74.19874123
133, SOUTH THIRTEENTH ST,1860,23,no,03-24-2014,40.75059026,-74.19888147
90-92, NINTH AVE.,1860,3,no,09-03-2013,40.75174303,-74.19867834
125, SOUTH FOURTEENTH ST.,1861,16,no,09-18-2013,40.75134914,-74.1995858
104-, NINTH AVE.,1861,5,no,09-03-2013,40.75198774,-74.19940198
118-120, SOUTH FIFTEENTH S,1861,54,no,09-18-2013,40.7516259,-74.19983368
104, NINTH AVE.,1861,6,no,09-03-2013,40.75197289,-74.19935036
102-, NINTH AVE.,1861,61,no,09-03-2013,40.75195802,-74.19929866
106, NINTH AVE.,1861,64,no,09-03-2013,40.75200262,-74.1994537
102, NINTH AVE.,1861,7,no,09-03-2013,40.75194311,-74.19924684
103, NINTH AVE.,1865,34,no,09-03-2013,40.75238535,-74.19921798
77, NINTH AVE.,1867,39,no,09-03-2013,40.75194939,-74.19770017
55, SOUTH TWELFTH STREET,1867,20,no,01-27-2014,40.75261646,-74.19695437
61, NINTH AVE.,1868,38,yes,09-03-2013,40.75170146,-74.19683725
69-71, SOUTH ELEVENTH ST.,1868,25,no,09-17-2013,40.7520903,-74.1962112
49, NINTH AVE.,1868,32,no,09-03-2013,40.75155693,-74.19633095
51, NINTH AVE.,1868,33,no,09-03-2013,40.75157644,-74.1964019
53, NINTH AVE,1868,34,no,09-03-2013,40.75160818,-74.19651329
207, DICKERSON ST.,1873,18,no,09-04-2013,40.75012944,-74.19319924
36, NORTH SEVENTH ST,1873,30,no,09-05-2013,40.7507624,-74.19274387
44, NORTH SEVENTH ST,1873,34,no,,40.7510012,-74.19258309
40A, NORTH SEVENTH ST,1873,39,no,,40.75092077,-74.19263794
24, NORTH SEVENTH ST,1873,24,no,,40.75039462,-74.1929893
64, NORTH SIXTH ST,1874,20,no,09-05-2013,40.75069581,-74.19177384
69, FIFTH ST.,1876,39,no,03-03-2014,40.75008012,-74.19057309
64-, FOURTH ST.,1876,46,no,09-03-2013,40.74958714,-74.19051347
65-67, FIFTH ST.,1876,38,no,,40.75000655,-74.1906222
63, FIFTH ST.,1876,36,no,03-03-2014,40.7499207,-74.1906795
61, FIFTH ST.,1876,35,no,03-03-2014,40.74984097,-74.19073271
51, FIFTH ST.,1876,30,no,03-03-2014,40.74952832,-74.19094141
67, FOURTH ST.,1877,34,no,09-03-2013,40.74939423,-74.19005348
59-61, THIRD ST.,1878,38,no,,40.74951397,-74.18900162
39, THIRD ST.,1878,28,no,,40.74886952,-74.18943191
76, SECOND ST.,1878,19,no,,40.74887444,-74.189044
78-80, SECOND STREET,1878,17,no,,40.74896652,-74.18898253
90, SECOND ST.,1878,12.01,no,,40.74929406,-74.18876382
75, SECOND ST.,1879,27,no,,40.74867326,-74.18852292
83, SECOND ST.,1879,31,no,,40.74891917,-74.18835654
85, SECOND ST.,1879,32,no,,40.74899943,-74.18836419
93, THIRD ST.,1884,46,no,,40.75066093,-74.18822748
102-104, FOURTH ST.,1886,29,no,,40.7508539,-74.18966605
92-96, NORTH SIXTH ST.,1888,26,no,03-21-2014,40.75183355,-74.19100503
63, NORTH SEVENTH ST.,1888,44,no,,40.75153075,-74.19161828
61, NORTH SEVENTH ST.,1888,43,no,,40.75147059,-74.19165956
92-96, NORTH SIXTH ST.,1888,26,no,,40.75183355,-74.19100503
84-90, NORTH SIXTH ST.,1888,29.01,no,03-21-2014,40.75158573,-74.19122553
43, ROSEVILLE AVE.,1889,46,no,09-06-2013,40.75195846,-74.19234604
60, NORTH SEVENTH ST,1889,34,no,09-05-2013,40.75168003,-74.19212718
58, NORTH SEVENTH ST,1889,35,no,09-05-2013,40.75161916,-74.19216817
53-55, MYRTLE AVE.,1890.03,61,no,03-21-2014,40.75342858,-74.19241775
146, NORTH SIXTH ST,1907,21,no,10-29-2013,40.7535843,-74.18998461
329," SEVENTH AVENUE, W.",1914,2,no,08-30-2013,40.75412542,-74.1870397
186, THIRD STREET,1914,65,no,08-30-2013,40.75403295,-74.18673275
192-194, THIRD ST,1914,61,no,01-06-2014,40.7542562,-74.18661638
246," SIXTH AVE., W.",1916,2,no,08-30-2013,40.75651937,-74.1878779
193-195, NORTH SEVENTH ST.,1917,56,no,10-28-2013,40.75614639,-74.18905015
185, ROSEVILLE AVE.,1918,28,no,11-01-2013,40.75689263,-74.18993281
140-148, ROSEVILLE AVE.,1919,34,no,09-06-2013,40.75593774,-74.19154463
56, NORTH THIRTEENTH ST,1923,19,no,09-05-2013,40.7575216,-74.19535896
240, NORTH SEVENTH ST,1929,22,no,10-28-2013,40.75796814,-74.18887624
213-215, ROSEVILLE AVE.,1929,45,no,11-01-2013,40.75804591,-74.18947894
284, NORTH SIXTH STREET,1930,8,yes,11-01-2013,40.75842847,-74.1874718
269, NORTH SEVENTH ST,1930,56,no,10-28-2013,40.75872089,-74.1877076
271, NORTH SIXTH ST.,1931,48,yes,11-01-2013,40.75781965,-74.18716782
245-247," SIXTH AVE., W.",1931,35,no,08-30-2013,40.75690751,-74.18774762
225," SIXTH AVE., W.",1932,33,no,08-30-2013,40.75665322,-74.18660325
285, FIFTH ST.,1932,50,no,11-12-2013,40.75768298,-74.18622817
148-150, NORTH NINTH ST.,1938,23,no,09-05-2013,40.7610168,-74.1903728
442, FOURTH AVE,1938,65,no,09-03-2013,40.76235575,-74.18985913
271-275, NORTH ELEVENTH ST,1945,60,no,08-27-2013,40.76447701,-74.18902018
348-350, NORTH SEVENTH ST,1947,31,yes,09-05-2013,40.76186221,-74.18675411
511, MARKET ST.,2003,42,yes,09-23-2013,40.73228501,-74.15635822
31, FILLMORE ST.,2011,16,no,10-30-2013,40.73154611,-74.15001059
24, FLEMING AVE.,2017,33,no,04-07-2014,40.73097716,-74.14733723
26, FLEMING AVE.,2017,32,no,04-07-2014,40.73099858,-74.14727064
22, MOTT ST.,2020,48,no,09-24-2013,40.73219128,-74.14745853
49-51, FLEMING AVE.,2022,4,no,09-03-2013,40.73110529,-74.14564402
28, OXFORD ST.,2024,44,no,03-24-2014,40.73253216,-74.14561099
150, FLEMING AVE.,2468,25,no,09-20-2013,40.73256128,-74.14022754
63, BRILL ST.,2475,15,no,04-07-2014,40.73147507,-74.1425974
60, BRILL ST.,2476,29,no,04-07-2014,40.73169285,-74.14209044
131, FLEMING AVE.,2477,4,no,07-24-2013,40.73221923,-74.14131089
133, FLEMING AVE.,2477,5,no,07-24-2013,40.73221026,-74.14122156
24, VINCENT ST.,2479,82,no,01-30-2014,40.73144898,-74.13752266
27, VINCENT ST.,2480,14,yes,01-30-2014,40.73124756,-74.13788041
18, LENTZ AVE.,2480,47,no,04-07-2014,40.7316936,-74.13843313
20-, LENTZ AVE.,2480,45,no,04-07-2014,40.73159406,-74.13837241
9, LENTZ AVE.,2481,12,yes,04-07-2014,40.73177759,-74.13896956
30, CORTLAND ST.,2482,15,yes,04-07-2014,40.7309335,-74.13911971
43-, CORTLAND ST,2483,60,yes,04-07-2014,40.73032219,-74.1392491
40, HAWKINS ST.,2483,25,yes,04-07-2014,40.73027156,-74.13962923
43, CORTLAND ST.,2483,40,no,04-08-2014,40.73036172,-74.13927981
32, HAWKINS ST.,2483,21,no,09-23-2013,40.73050839,-74.13981182
34, HAWKINS ST.,2483,22,no,04-08-2014,40.73044933,-74.13976585
23, HAWKINS ST.,2484,19,yes,04-07-2014,40.73057507,-74.1405742
45, HAWKINS ST.,2484,39,yes,04-07-2014,40.72992673,-74.14007003
101, BRILL ST.,2486,16,yes,04-07-2014,40.73012224,-74.14171271
357, MORRIS AVE.,254,15,no,,40.73479184,-74.19315082
355, MORRIS AVE.,254,14,no,,40.73485581,-74.19312647
373, MORRIS AVE.,254,23,no,,40.73426489,-74.19335333
400, EIGHTEENTH AVE.,2608,65,no,10-31-2013,40.73130371,-74.20046891
257, ROSE ST,2611,59,no,10-28-2013,40.72879915,-74.19911199
259, ROSE ST.,2611,60,no,10-28-2013,40.72884841,-74.19915242
313, ROSE ST,2612,56,no,10-28-2013,40.73060953,-74.20039682
10-14, KENT ST,2613,28,no,01-06-2014,40.73088685,-74.20201921
38, KENT ST,2615,10,no,07-22-2013,40.72989678,-74.2024035
35-53, KENT ST,2616,9,no,07-22-2013,40.730067,-74.2029325
645, SOUTH TENTH STREET,2617,34,no,10-31-2013,40.72993863,-74.20474544
654, SOUTH TWELFTH ST,2618,67,no,,40.73061583,-74.20603424
680, SOUTH TWELFTH ST,2618,54,no,,40.72979099,-74.20635659
